Metal,Process_Type,End_of_Life,Energy_Use_MJ_per_kg,Emission_kgCO2_per_kg,Water_Use_l_per_kg,Transport_km,Recycled_Content_pct,Reuse_Potential_score,Circularity_Index,Cost_per_kg,Product_Life_Extension_years,Waste_kg_per_kg_metal,Environmental_Impact_Score,Sustainability_Score
Gold,Hybrid,Recycled,356.53,30.4,121.07,118.83,62.25,5.56,0.47,3144.84,27.49,0.03,0.6701204745126492,0.5606929922135707
Zinc,Recycled,Landfilled,101.53,3.07,4.67,211.02,65.66,5.79,0.54,2.68,12.93,0.04,0.11507021520859072,0.6074497886540601
Zinc,Hybrid,Landfilled,106.1,3.3,10.99,126.0,57.93,1.3,0.31,3.3,11.41,0.13,0.12524234467009904,0.3846410233592881
Nickel,Hybrid,Recycled,126.28,12.18,5.8,178.36,25.0,4.8,0.15,19.76,14.03,0.2,0.22675247196210616,0.2667853170189099
Zinc,Recycled,Recycled,87.12,8.16,4.54,173.5,34.86,5.22,0.29,2.86,13.08,0.09,0.15436479416886253,0.3715690322580645
Tin,Recycled,Reused,21.03,1.3,1.52,218.22,31.45,3.72,0.2,15.79,9.47,0.03,0.030845903154951598,0.2885586206896552
Tin,Recycled,Reused,75.2,2.84,5.04,131.0,49.47,4.89,0.3,17.35,7.41,0.03,0.09194605143046573,0.42666754171301446
Silver,Hybrid,Landfilled,150.88,14.74,51.83,85.62,33.83,4.73,0.56,1127.58,11.78,0.04,0.30273963129476056,0.4645480311457175
Lead,Primary,Landfilled,84.97,3.68,7.68,99.19,30.27,2.0,0.62,2.32,9.69,0.05,0.10992696691777037,0.41357388209121243
Gold,Hybrid,Reused,459.72,26.33,139.1,159.45,33.87,1.37,0.58,4455.18,29.15,0.02,0.7240102761884897,0.39795830923248054
Cobalt,Recycled,Reused,78.56,6.12,14.61,348.15,20.71,2.49,0.32,36.64,15.3,0.15,0.13382476191011422,0.26623488320355954
Gold,Hybrid,Landfilled,387.34,27.74,261.07,53.29,38.65,4.39,0.2,4254.53,13.59,0.03,0.7615274483297487,0.3322640711902114
Aluminium,Primary,Landfilled,138.51,6.36,18.16,349.74,64.95,5.32,0.32,2.74,9.64,0.07,0.18656705232396598,0.5061537263626252
Gold,Primary,Recycled,392.85,35.57,127.43,147.82,49.6,1.36,0.38,4476.65,11.46,0.03,0.7551392531287903,0.3806558398220245
Aluminium,Recycled,Recycled,187.74,8.39,8.19,485.9,47.4,2.22,0.31,2.9,19.38,0.18,0.23961950775476792,0.36298820912124585
Copper,Hybrid,Landfilled,127.17,9.16,14.97,287.26,16.02,6.88,0.39,5.73,8.71,0.13,0.20337209772863085,0.37313895439377087
Copper,Recycled,Reused,44.07,3.32,8.05,176.55,52.79,5.95,0.51,7.0,6.61,0.17,0.07384298020902028,0.5475292992213571
Nickel,Primary,Recycled,73.33,8.36,7.6,299.35,72.92,2.37,0.44,18.36,13.14,0.08,0.14737052784582114,0.5204052502780868
Zinc,Recycled,Reused,62.82,4.35,8.61,133.0,38.01,5.55,0.34,3.07,10.07,0.1,0.09952349011878048,0.4115105228031146
Zinc,Hybrid,Recycled,99.92,4.11,9.04,252.53,56.36,2.59,0.3,2.09,7.21,0.13,0.12709853977224633,0.4030595773081201
Nickel,Recycled,Reused,135.42,5.56,17.61,310.5,65.13,4.19,0.65,19.9,13.44,0.22,0.1757255455307687,0.6137346829810902
Tin,Recycled,Recycled,40.72,4.46,5.63,220.56,45.13,4.27,0.28,24.78,13.09,0.1,0.08095126301011399,0.3875144382647386
Zinc,Hybrid,Landfilled,77.62,5.72,10.76,215.45,73.26,3.67,0.3,3.15,7.66,0.05,0.12650418469867303,0.4946862736373749
Steel,Recycled,Landfilled,24.78,1.22,2.83,279.46,76.94,3.05,0.52,1.35,23.31,0.12,0.03392016965936261,0.583613170189099
Copper,Recycled,Recycled,128.41,8.47,9.36,338.09,42.66,1.25,0.63,7.91,7.39,0.14,0.19372167238721993,0.4504486763070078
Nickel,Primary,Recycled,135.14,8.79,17.19,309.63,26.52,2.26,0.27,18.44,10.4,0.05,0.20752948064327437,0.2643580867630701
Lead,Recycled,Reused,72.65,4.16,1.13,256.22,25.22,4.54,0.76,1.85,12.02,0.14,0.10050137810882676,0.5058811123470524
Nickel,Hybrid,Reused,109.14,5.52,16.15,334.86,55.96,2.22,0.25,17.37,17.55,0.2,0.15332154345491247,0.3732282091212459
Copper,Hybrid,Recycled,140.04,3.97,8.75,386.53,6.4,2.23,0.45,6.91,22.05,0.09,0.1576104364715906,0.25521067853170193
Nickel,Hybrid,Landfilled,107.1,5.99,17.43,283.75,26.17,2.14,0.51,14.49,10.31,0.22,0.1572437899513984,0.3562884538375974
Nickel,Primary,Reused,76.05,10.72,5.57,198.88,21.47,2.8,0.49,12.43,17.56,0.14,0.17179938799860386,0.3441714349276975
Steel,Hybrid,Landfilled,23.9,7.51,3.45,266.04,89.22,3.45,0.43,1.9,15.47,0.1,0.09654513091317264,0.6056319466073415
Tin,Primary,Reused,63.18,2.19,4.0,274.03,20.29,4.05,0.3,19.41,7.55,0.07,0.07513202208687536,0.29126011123470524
Steel,Hybrid,Reused,38.02,6.54,7.72,327.64,30.39,8.34,0.75,1.21,24.2,0.03,0.10098952110397753,0.607099488320356
Nickel,Hybrid,Recycled,116.61,14.42,13.55,299.23,49.6,4.22,0.6,18.28,7.18,0.06,0.24658779667795716,0.5322820912124583
Lead,Primary,Reused,51.34,3.07,4.55,207.8,40.69,5.15,0.68,1.81,5.07,0.05,0.07482614465480254,0.5493317463848721
Tin,Primary,Reused,39.64,2.95,3.69,164.74,28.45,1.99,0.33,20.48,10.81,0.05,0.06368954947412753,0.2900714126807564
Aluminium,Hybrid,Reused,104.9,7.23,15.97,499.92,10.54,3.93,0.22,2.26,16.4,0.09,0.16691276961002252,0.2175904783092325
Cobalt,Primary,Reused,138.33,9.32,14.03,395.52,26.5,2.42,0.33,39.1,18.46,0.06,0.21327634321006433,0.29183759733036707
Cobalt,Primary,Recycled,132.51,11.86,9.7,366.85,22.2,1.23,0.42,32.61,8.74,0.08,0.2311378609290223,0.2841637374860957
Tin,Primary,Landfilled,53.61,4.91,3.95,296.86,55.69,2.64,0.21,17.66,10.03,0.08,0.09464718407346047,0.36549192436040046
Tin,Primary,Landfilled,48.46,3.73,4.71,110.04,48.68,1.9,0.38,23.52,8.25,0.02,0.07922979877868179,0.3889891879866519
Silver,Hybrid,Recycled,237.75,14.91,81.25,82.84,81.08,3.42,0.14,1133.04,11.41,0.02,0.3935754764082076,0.4564045383759733
Zinc,Hybrid,Reused,116.47,2.59,7.67,260.49,45.07,5.04,0.34,3.24,9.71,0.18,0.12422513506011197,0.4284045828698554
Cobalt,Hybrid,Landfilled,97.37,10.22,4.36,222.78,34.95,3.25,0.24,30.03,19.48,0.1,0.18305237418637033,0.30810255839822026
Tin,Hybrid,Recycled,56.76,3.44,5.49,110.01,41.41,1.43,0.22,19.38,11.83,0.1,0.08349120489882011,0.2854531256952169
Steel,Recycled,Landfilled,21.07,1.48,3.4,213.1,23.67,8.59,0.46,1.31,29.18,0.03,0.033932030515065846,0.46978122358175756
Steel,Primary,Reused,74.42,5.82,4.25,149.33,73.84,1.6,0.52,0.54,24.19,0.12,0.12060250888868167,0.53895510567297
Nickel,Primary,Landfilled,123.87,12.09,7.75,166.36,25.81,3.95,0.13,15.49,8.88,0.05,0.2252240150914058,0.24311541713014462
Tin,Recycled,Recycled,33.09,3.85,4.98,173.75,78.89,3.21,0.58,15.78,13.54,0.09,0.06831045695953186,0.618972680756396
Tin,Hybrid,Reused,50.08,2.15,1.07,119.56,67.96,4.91,0.44,16.2,11.88,0.03,0.062294922757223085,0.5570724805339267
Cobalt,Primary,Recycled,109.31,8.08,13.6,293.18,24.47,1.19,0.16,27.01,15.29,0.12,0.17736353241330177,0.18835385984427144
Copper,Primary,Landfilled,59.09,5.44,6.9,291.47,76.09,5.85,0.47,6.43,13.57,0.1,0.10630101625047197,0.6225046051167964
Nickel,Recycled,Recycled,83.12,7.99,15.17,287.45,24.06,4.23,0.63,19.2,8.67,0.09,0.1565519657230191,0.4423445606229144
Nickel,Primary,Landfilled,73.66,13.5,4.93,147.68,12.59,3.81,0.3,10.68,12.83,0.25,0.1972669854896134,0.25512084538375973
Nickel,Hybrid,Landfilled,130.76,14.44,12.56,270.94,51.16,4.47,0.18,17.7,5.69,0.04,0.25745106766262016,0.37608382647385985
Lead,Hybrid,Recycled,54.33,5.74,2.29,212.47,25.42,5.35,0.54,2.35,14.38,0.13,0.10241847058770068,0.4367011345939934
Nickel,Primary,Recycled,62.26,10.6,17.66,205.76,42.08,3.27,0.63,19.02,15.66,0.12,0.1676259272370489,0.4930674972191324
Cobalt,Primary,Recycled,83.6,10.23,13.71,241.68,69.3,4.53,0.38,33.16,14.09,0.19,0.1783680893998174,0.5299786429365962
Steel,Hybrid,Landfilled,98.65,7.23,4.76,132.28,44.05,8.47,0.29,0.93,12.06,0.13,0.1544359424060865,0.4806315906562848
Cobalt,Recycled,Reused,153.01,7.32,10.04,336.4,51.17,4.05,0.21,29.32,14.58,0.15,0.20235815669448956,0.3787801112347053
Nickel,Hybrid,Recycled,83.65,11.95,17.1,261.79,38.67,3.37,0.56,15.02,15.29,0.11,0.1978730053061079,0.45365219132369305
Zinc,Primary,Recycled,34.65,8.28,11.49,308.98,39.65,2.0,0.23,3.95,8.09,0.16,0.1182110668833658,0.29509388209121246
Aluminium,Hybrid,Reused,57.78,8.29,17.12,341.14,55.34,4.41,0.44,1.6,15.77,0.17,0.14057497924467424,0.49546901001112353
Steel,Hybrid,Recycled,24.71,3.07,7.7,391.3,24.4,5.69,0.79,0.61,16.12,0.08,0.05561631168624033,0.5401850945494995
Nickel,Recycled,Landfilled,123.69,13.74,15.79,295.15,33.18,4.26,0.47,17.19,18.52,0.09,0.24694552762454033,0.4154919688542825
Nickel,Primary,Reused,148.7,10.81,13.65,291.44,60.98,4.24,0.11,12.79,17.46,0.04,0.23622515778150271,0.38224703003337046
Tin,Hybrid,Reused,39.05,4.68,3.22,113.56,71.48,1.61,0.56,24.41,11.03,0.09,0.08020831700197885,0.545737575083426
Nickel,Recycled,Landfilled,66.5,12.7,12.25,123.11,49.63,1.11,0.35,10.87,6.24,0.06,0.1884165677542618,0.363214104560623
Silver,Recycled,Landfilled,203.59,24.6,101.31,70.69,44.73,1.14,0.49,1187.17,17.51,0.05,0.4765404071125158,0.40028151279199115
Gold,Hybrid,Reused,394.93,26.43,211.93,145.71,43.46,2.68,0.11,4324.79,49.47,0.03,0.7217292563272167,0.2774618020022247
Gold,Hybrid,Recycled,349.71,26.49,167.11,91.54,71.69,2.39,0.58,3235.25,36.69,0.05,0.6562545801825423,0.5719301890989988
Tin,Primary,Reused,21.52,5.47,1.42,185.12,39.67,3.97,0.21,21.89,10.92,0.06,0.07288176394795745,0.33100035595105676
Cobalt,Primary,Landfilled,104.55,10.07,11.8,295.13,65.11,4.03,0.28,20.49,15.77,0.1,0.19225904582918385,0.4620951724137931
Silver,Recycled,Landfilled,312.51,19.43,70.24,126.77,76.4,2.82,0.39,981.99,7.09,0.04,0.49127076916282125,0.5243363737486096
Cobalt,Recycled,Landfilled,99.03,9.39,12.17,207.68,58.47,3.64,0.33,32.82,7.49,0.1,0.1812867526685082,0.44685886540600667
Nickel,Hybrid,Landfilled,138.16,11.17,8.05,303.29,15.4,4.54,0.43,11.03,5.01,0.15,0.22765719849301008,0.3346011123470523
Cobalt,Primary,Recycled,84.81,10.75,4.95,283.54,22.23,3.5,0.42,21.14,6.3,0.15,0.17869612246331182,0.3347842936596218
Tin,Primary,Reused,52.09,3.89,3.81,84.0,10.52,3.14,0.16,20.35,11.91,0.04,0.08313491029746718,0.1759353948832036
Steel,Hybrid,Recycled,98.75,5.09,8.24,200.13,65.74,8.34,0.57,0.56,13.27,0.11,0.1354312339071426,0.6764994883203559
Nickel,Hybrid,Recycled,72.91,13.27,6.24,265.28,63.16,1.16,0.48,15.42,13.52,0.2,0.19523979657615373,0.4704464516129032
Lead,Hybrid,Recycled,81.08,6.16,6.45,162.55,56.65,2.78,0.56,1.62,14.5,0.07,0.1308000158630006,0.5124464961067854
Silver,Hybrid,Landfilled,213.13,18.37,142.75,113.74,25.88,1.92,0.21,1496.38,22.59,0.01,0.449493154247743,0.23023412680756397
Aluminium,Hybrid,Landfilled,171.23,11.86,11.09,357.6,86.44,1.02,0.71,2.86,13.75,0.08,0.26305007036139055,0.6524518798665183
Gold,Hybrid,Recycled,421.09,22.23,157.9,158.3,29.47,3.85,0.44,3811.58,10.48,0.05,0.6646234260902066,0.379530723025584
Steel,Primary,Reused,32.45,5.3,7.69,229.54,44.1,5.57,0.38,1.28,28.46,0.13,0.08410907779286744,0.4523154616240267
Copper,Recycled,Landfilled,52.18,8.48,3.0,310.07,21.3,1.23,0.36,6.97,5.51,0.13,0.12857826573500625,0.2565637374860956
Cobalt,Hybrid,Reused,64.68,7.0,12.95,161.44,38.4,2.31,0.4,38.67,7.58,0.04,0.1304126684040968,0.36499043381535046
Lead,Primary,Reused,72.39,3.44,2.18,104.83,88.35,3.68,0.34,1.69,14.26,0.15,0.09379170195644634,0.5712687430478309
Nickel,Primary,Landfilled,76.45,6.7,9.07,202.69,47.14,1.38,0.6,15.28,6.49,0.1,0.13424338723580995,0.4592607786429366
Silver,Primary,Landfilled,348.26,12.83,95.25,177.7,74.15,4.78,0.54,722.52,20.79,0.03,0.4705406283530933,0.6189403781979979
Zinc,Primary,Recycled,93.11,4.97,11.33,260.95,31.45,4.86,0.48,2.61,13.52,0.11,0.13177812930578328,0.42592013348164626
Gold,Hybrid,Landfilled,470.4,39.31,271.58,127.36,47.62,2.13,0.28,3245.45,34.84,0.03,0.9507328565544175,0.34986598442714123
Aluminium,Hybrid,Landfilled,167.74,9.37,17.4,319.21,77.39,4.16,0.34,1.59,5.19,0.17,0.23955879469706093,0.538107274749722
Aluminium,Hybrid,Landfilled,107.24,10.63,14.97,321.17,73.03,7.02,0.37,2.85,7.16,0.18,0.20212698901221998,0.5962935261401558
Lead,Recycled,Reused,47.02,3.39,1.84,263.84,57.51,3.06,0.7,1.67,10.03,0.06,0.07276275917076645,0.578115639599555
Tin,Recycled,Reused,77.35,3.44,4.51,120.11,67.37,4.05,0.2,23.02,10.33,0.04,0.09931464037971777,0.4395801112347053
Zinc,Primary,Recycled,90.73,4.47,3.51,305.41,58.77,4.41,0.4,3.74,11.39,0.15,0.11965758369541335,0.49318901001112353
Gold,Primary,Recycled,370.86,24.81,257.22,163.89,24.44,4.35,0.3,4898.52,43.58,0.03,0.7164648138174465,0.3145341935483871
Tin,Hybrid,Reused,55.33,4.47,1.53,295.84,27.19,4.51,0.13,16.74,12.44,0.06,0.09000873305195678,0.2610937041156841
Lead,Primary,Reused,89.26,6.26,7.57,111.71,27.51,4.5,0.8,1.51,9.2,0.03,0.1390930955455412,0.5301512347052282
Lead,Primary,Landfilled,59.28,2.47,2.13,101.27,26.88,3.78,0.6,1.47,13.17,0.03,0.07356478678124827,0.43161343715239153
Aluminium,Hybrid,Reused,91.26,8.86,16.44,397.64,75.21,1.95,0.29,1.56,15.36,0.18,0.17261498795782884,0.46022153503893215
Lead,Recycled,Recycled,72.81,3.79,6.15,111.66,88.41,5.33,0.27,1.85,8.32,0.12,0.10027605063820216,0.5802161957730813
Copper,Recycled,Reused,134.93,4.72,10.51,190.55,27.3,1.92,0.11,6.58,21.13,0.07,0.1621967314781089,0.19591412680756398
Nickel,Recycled,Landfilled,167.2,8.26,13.8,356.23,44.53,1.43,0.14,14.14,16.29,0.11,0.2256232491935336,0.26593312569521693
Zinc,Recycled,Recycled,42.94,6.43,2.57,192.17,65.41,4.13,0.3,2.8,5.55,0.13,0.10039217805645446,0.47351986651835376
Zinc,Recycled,Reused,38.96,7.58,3.04,208.36,75.5,5.33,0.46,2.45,13.28,0.17,0.10902351519991453,0.6045761957730813
Lead,Hybrid,Landfilled,53.43,2.42,1.75,212.67,32.55,2.57,0.36,1.35,10.68,0.08,0.06812985642175551,0.331374638487208
Steel,Primary,Landfilled,32.46,4.19,9.31,294.19,70.23,2.66,0.3,0.69,32.65,0.06,0.07409459257648468,0.4600968631813126
Zinc,Hybrid,Recycled,46.61,4.83,2.02,345.91,45.67,2.28,0.45,3.83,9.15,0.05,0.08695829364999826,0.41340302558398223
Gold,Primary,Landfilled,362.12,39.04,219.59,122.22,75.58,1.07,0.46,3394.16,28.4,0.05,0.8267129412550906,0.5101242269187988
Copper,Hybrid,Recycled,70.62,3.4,10.26,284.64,55.42,4.67,0.13,5.86,10.24,0.04,0.09736328049822697,0.3775732146829811
Zinc,Primary,Recycled,31.75,6.29,8.13,188.64,45.28,4.56,0.43,3.68,5.57,0.1,0.09374479693777743,0.45456605116796445
Silver,Primary,Recycled,170.82,16.68,84.1,144.55,77.5,2.67,0.5,1003.93,14.68,0.02,0.35962034129614195,0.5693993325917687
Gold,Recycled,Recycled,300.02,35.6,297.42,140.11,26.71,1.19,0.31,4511.04,14.99,0.02,0.7945099374338251,0.2573138598442714
Cobalt,Recycled,Reused,140.31,11.65,6.1,306.94,53.7,2.09,0.34,34.57,9.82,0.18,0.23287856818879582,0.397296106785317
Aluminium,Primary,Reused,100.44,7.52,15.21,483.09,85.92,3.49,0.28,1.61,19.92,0.06,0.16573762225628447,0.5333218242491657
Copper,Hybrid,Reused,112.53,4.72,9.48,329.29,52.14,3.04,0.43,6.19,6.25,0.04,0.14358450403820447,0.448190700778643
Copper,Hybrid,Landfilled,106.79,9.39,6.35,193.71,32.78,5.18,0.11,5.52,23.96,0.08,0.1836155806847445,0.2903591546162403
Silver,Hybrid,Landfilled,150.39,15.56,118.98,133.33,62.5,4.9,0.11,916.0,24.99,0.02,0.3553281718007991,0.4030100111234705
Nickel,Primary,Landfilled,162.41,14.95,15.6,343.52,69.03,4.44,0.15,14.74,6.95,0.24,0.28990714851620175,0.4348964182424917
Tin,Recycled,Reused,20.01,2.12,2.86,91.63,63.17,4.17,0.23,21.51,11.93,0.05,0.03912528041321614,0.437449744160178
Nickel,Hybrid,Landfilled,111.23,11.95,8.66,446.22,51.19,2.14,0.37,16.36,13.71,0.25,0.2143154589811275,0.40036845383759734
Aluminium,Recycled,Landfilled,185.99,11.69,11.21,292.35,20.27,1.09,0.49,1.97,6.49,0.17,0.27324121005717666,0.3013291657397108
Zinc,Hybrid,Recycled,54.79,3.45,8.41,142.34,42.21,3.55,0.25,3.14,10.94,0.14,0.08396194287943343,0.34781664071190216
Tin,Hybrid,Landfilled,55.56,3.88,2.47,277.55,62.3,3.77,0.45,21.19,6.53,0.08,0.08491814672203217,0.5130709677419355
Aluminium,Primary,Reused,198.39,4.56,16.61,412.85,35.33,1.27,0.13,2.18,18.75,0.23,0.21544731774894849,0.2215736151279199
Silver,Primary,Recycled,194.03,15.34,128.81,124.03,29.6,2.72,0.3,1273.64,16.4,0.02,0.3946051797613157,0.29891167964404897
Tin,Hybrid,Recycled,37.69,4.4,4.54,227.12,10.51,1.42,0.51,18.34,9.74,0.09,0.07719952505824683,0.27763065628476086
Nickel,Hybrid,Landfilled,160.21,14.98,9.12,317.0,44.27,4.96,0.57,10.67,19.96,0.09,0.28412554306922705,0.5154248275862069
Silver,Primary,Landfilled,341.82,17.45,84.4,153.32,78.39,1.1,0.2,710.59,20.91,0.04,0.5043633724407663,0.41803163515016695
Aluminium,Recycled,Recycled,71.12,9.15,18.72,411.47,42.07,6.71,0.3,1.71,7.52,0.17,0.1609192835300601,0.4375569744160178
Silver,Recycled,Landfilled,211.89,21.88,148.85,128.63,82.12,4.31,0.23,910.33,29.91,0.05,0.48767738515310816,0.516364315906563
Gold,Recycled,Reused,486.37,32.34,196.62,198.99,31.86,2.31,0.51,4705.43,42.66,0.02,0.8438085980371006,0.3828304338153504
Cobalt,Recycled,Landfilled,144.82,5.76,12.86,306.28,27.53,3.51,0.4,33.86,18.91,0.05,0.18208079099644672,0.3482067630700779
Silver,Hybrid,Landfilled,203.37,20.79,144.84,93.54,59.88,1.86,0.58,1327.08,20.7,0.03,0.4672825676456871,0.5128993103448276
Aluminium,Hybrid,Landfilled,84.21,8.84,8.3,203.65,43.23,5.52,0.44,2.34,14.1,0.21,0.16134513127379638,0.47172311457174637
Lead,Recycled,Reused,74.6,6.69,3.86,191.6,36.18,3.89,0.79,2.37,8.13,0.08,0.12918865829370438,0.5472606006674083
Steel,Recycled,Reused,87.92,3.33,9.84,143.83,77.11,3.27,0.31,1.02,16.2,0.09,0.11022718401385674,0.5051874972191324
Copper,Recycled,Landfilled,85.53,7.09,9.62,251.16,26.36,6.11,0.24,5.67,22.69,0.13,0.14577730680410253,0.3373688097886541
Zinc,Recycled,Reused,102.97,7.23,4.73,111.74,38.26,4.11,0.61,3.97,13.92,0.1,0.15787297418246388,0.4884749276974416
Silver,Recycled,Recycled,250.4,20.27,97.7,94.88,54.05,3.08,0.55,731.2,19.16,0.04,0.46828150856128964,0.5047205784204672
Lead,Recycled,Landfilled,81.98,6.4,1.19,161.69,22.86,1.88,0.6,2.28,9.21,0.14,0.1304132300506503,0.37326424916573975
Gold,Hybrid,Landfilled,436.05,38.2,123.66,179.48,79.49,2.07,0.24,4790.85,11.38,0.04,0.8135021971499555,0.4600111679644049
Silver,Recycled,Landfilled,220.28,15.04,112.73,155.08,61.84,3.3,0.35,919.24,16.57,0.03,0.40188787203515486,0.4607749054505006
Zinc,Primary,Recycled,76.66,4.75,4.1,248.62,15.18,2.59,0.26,3.67,13.1,0.08,0.11159234430731317,0.22233957730812015
Silver,Recycled,Landfilled,345.59,16.83,50.01,173.72,79.39,4.65,0.14,753.22,10.91,0.01,0.4782459450494707,0.47700827586206906
Silver,Recycled,Landfilled,172.07,24.06,90.86,99.51,51.02,3.64,0.36,1179.1,22.55,0.03,0.4389469647648263,0.4290588654060067
Steel,Primary,Recycled,49.96,5.66,4.85,216.87,20.23,6.74,0.49,1.83,12.06,0.05,0.09982834332212685,0.426864382647386
Nickel,Recycled,Landfilled,60.12,5.68,10.44,114.18,30.1,1.62,0.38,14.06,19.15,0.16,0.11188649317589207,0.3084400444938821
Copper,Hybrid,Reused,40.69,7.14,6.79,164.65,52.35,3.01,0.66,5.23,10.55,0.15,0.10850749709393501,0.5403632925472748
Zinc,Recycled,Landfilled,115.36,3.95,10.86,306.82,60.22,1.11,0.6,2.92,14.2,0.03,0.1390675033594283,0.5055741045606229
Aluminium,Hybrid,Reused,125.2,4.21,14.77,465.26,34.0,1.35,0.6,1.6,7.19,0.15,0.15214987779385175,0.4060333704115684
Nickel,Hybrid,Reused,102.65,10.4,13.0,255.4,45.42,1.94,0.19,12.39,7.98,0.12,0.1948396282888818,0.3008390656284761
Steel,Recycled,Reused,23.24,7.16,2.66,150.24,84.38,4.08,0.62,0.51,29.42,0.04,0.09198929009826073,0.6762875194660735
Nickel,Primary,Landfilled,163.14,8.24,8.64,390.79,68.7,1.17,0.49,15.58,18.44,0.13,0.21873330691060194,0.49682892102335935
Zinc,Recycled,Recycled,58.91,2.69,11.7,200.36,57.3,1.24,0.19,2.58,6.11,0.19,0.08185094987927787,0.33278620689655175
Steel,Primary,Landfilled,93.11,3.76,2.52,266.87,52.45,8.45,0.58,0.96,29.31,0.12,0.11380020357601796,0.6297866518353726
Tin,Primary,Reused,74.58,5.89,4.06,278.47,31.73,4.69,0.57,18.68,7.31,0.04,0.1213040218905118,0.4592581535038932
Steel,Recycled,Recycled,40.16,6.19,8.22,200.97,77.54,6.19,0.68,1.09,26.79,0.03,0.09953458188523132,0.7198685650723026
Copper,Hybrid,Recycled,135.24,8.21,12.75,272.87,40.54,3.9,0.31,5.07,19.39,0.15,0.19884726474400755,0.3729230700778643
Steel,Recycled,Recycled,58.87,6.9,5.68,337.34,57.82,8.41,0.71,0.72,11.95,0.04,0.11991506406728072,0.7023767741935484
Gold,Primary,Reused,439.15,29.3,161.36,84.99,41.39,5.06,0.42,4817.36,48.55,0.02,0.7521007231526231,0.4461295216907675
Gold,Recycled,Reused,401.25,22.87,182.74,63.36,33.29,3.97,0.11,4544.88,16.22,0.04,0.6717126806393121,0.26548035595105673
Nickel,Primary,Reused,120.68,8.05,7.36,292.14,16.73,4.8,0.56,13.55,15.26,0.19,0.18200107738419832,0.39770531701891
Zinc,Primary,Recycled,83.48,3.43,5.83,139.74,41.18,3.98,0.41,3.67,7.8,0.1,0.1050003217442198,0.4172628253615128
Steel,Primary,Reused,23.49,5.3,9.34,322.37,59.33,2.73,0.47,1.78,37.92,0.04,0.07803922015913027,0.486054149054505
Lead,Hybrid,Landfilled,59.31,5.83,5.57,201.2,80.91,2.78,0.67,2.48,10.96,0.07,0.1094911411359479,0.6534864961067852
Zinc,Hybrid,Reused,112.51,5.64,10.1,319.46,18.12,5.69,0.56,3.28,10.66,0.18,0.15318424339686385,0.4230650945494995
Zinc,Primary,Recycled,89.3,7.37,6.39,250.96,41.45,3.5,0.48,3.24,9.42,0.05,0.14944100434194543,0.4356642936596218
Copper,Hybrid,Recycled,57.15,8.34,5.94,299.04,37.68,4.93,0.23,6.46,19.66,0.07,0.13311563161151338,0.35239741935483876
Steel,Primary,Recycled,76.66,2.7,3.26,302.59,64.39,8.66,0.28,1.87,36.83,0.15,0.09052706865257659,0.5622185094549499
Copper,Recycled,Landfilled,55.59,5.98,5.28,242.56,75.88,1.18,0.32,6.35,24.9,0.11,0.10782123825916025,0.4577713904338154
Silver,Primary,Recycled,183.42,14.45,103.37,176.16,55.28,2.81,0.1,831.98,5.24,0.01,0.3602478831677445,0.32363390433815353
Silver,Recycled,Landfilled,348.29,10.08,61.29,197.73,47.34,2.96,0.27,1492.36,5.99,0.03,0.42041171989235576,0.3632109454949945
Gold,Primary,Recycled,355.04,31.99,291.54,56.16,34.48,5.83,0.41,3776.88,47.56,0.03,0.7985090733274763,0.43161966629588433
Gold,Recycled,Landfilled,375.68,29.25,222.88,179.94,74.31,4.59,0.5,4059.65,15.37,0.03,0.7418336338896577,0.5993534593993326
Copper,Primary,Reused,148.63,3.08,3.98,179.89,5.04,4.37,0.19,6.8,7.19,0.06,0.15240142490767344,0.19337913236929924
Steel,Hybrid,Recycled,68.8,3.29,3.35,395.57,22.26,5.91,0.63,1.44,20.05,0.14,0.09019867305959678,0.47251942157953286
Tin,Primary,Landfilled,55.69,5.01,4.33,272.31,20.66,4.31,0.45,21.94,9.79,0.02,0.09756533439268954,0.35852431590656286
Cobalt,Recycled,Reused,103.45,4.66,6.25,292.5,45.92,1.13,0.43,22.52,15.84,0.15,0.1335642664380166,0.38081904338153505
Lead,Hybrid,Landfilled,71.57,4.53,7.62,234.29,72.68,3.12,0.43,2.15,13.25,0.08,0.10766586481455183,0.5321304560622915
Nickel,Recycled,Landfilled,109.48,11.41,4.36,344.39,17.62,4.41,0.32,19.43,5.05,0.07,0.20464625720248794,0.2965890100111235
Tin,Primary,Landfilled,77.48,3.41,5.65,112.77,18.72,1.12,0.15,17.77,5.59,0.06,0.09987879929105144,0.159796573971079
Silver,Hybrid,Landfilled,296.0,14.01,134.28,181.5,41.89,1.15,0.57,850.84,9.09,0.02,0.4665499734443998,0.4211439822024472
Lead,Recycled,Landfilled,37.93,5.42,4.28,235.47,67.08,3.52,0.3,2.3,7.44,0.12,0.08742075374530665,0.46662923248053395
Nickel,Hybrid,Recycled,88.09,5.1,8.21,240.0,21.38,5.48,0.43,10.02,13.51,0.11,0.1269806944108879,0.3794332369299222
Lead,Recycled,Reused,66.74,3.09,1.31,205.47,87.83,6.28,0.49,2.02,11.79,0.1,0.08518931562279744,0.6870307897664072
Gold,Primary,Landfilled,499.51,30.54,166.44,155.31,83.84,2.56,0.47,4206.98,15.56,0.02,0.8161938846937127,0.580312169076752
