Metal,Process_Type,End_of_Life,Energy_Use_MJ_per_kg,Emission_kgCO2_per_kg,Water_Use_l_per_kg,Transport_km,Recycled_Content_pct,Reuse_Potential_score,Circularity_Index,Cost_per_kg,Product_Life_Extension_years,Waste_kg_per_kg_metal
Copper,Primary,Recycled,117.89,8.4,8.52,171.5,40.2,6.71,0.3,7.71,13.61,0.1
Gold,Hybrid,Reused,489.35,25.96,290.64,72.08,49.56,1.59,0.42,3150.23,35.07,0.05
Steel,Recycled,Recycled,61.68,1.56,4.43,245.76,52.06,3.07,0.38,1.12,26.84,0.14
Zinc,Recycled,Reused,44.0,2.02,3.25,109.56,71.52,3.92,0.68,3.61,9.42,0.15
Zinc,Hybrid,Recycled,70.13,7.96,4.5,212.62,17.31,5.94,0.42,3.25,7.3,0.09
Silver,Hybrid,Reused,204.44,22.73,107.3,127.62,49.21,1.13,0.12,1203.41,17.88,0.02
Aluminium,Hybrid,Landfilled,107.6,6.89,5.36,265.27,84.35,5.14,0.59,2.98,10.99,0.12
Zinc,Hybrid,Landfilled,70.6,8.12,12.0,105.85,66.53,3.07,0.33,2.28,7.18,0.04
Nickel,Hybrid,Landfilled,81.65,14.45,17.6,434.63,73.11,4.68,0.24,14.36,7.0,0.24
Lead,Hybrid,Recycled,86.66,4.79,4.17,94.82,26.19,5.96,0.66,2.28,9.25,0.09
Gold,Hybrid,Recycled,473.11,23.51,128.84,160.52,75.71,3.97,0.14,3726.88,33.29,0.01
Nickel,Primary,Reused,133.28,10.41,6.53,226.83,14.24,1.93,0.11,18.09,16.67,0.12
Gold,Recycled,Recycled,442.0,20.81,274.42,146.95,84.6,4.38,0.11,3578.39,35.93,0.01
Silver,Recycled,Recycled,219.86,17.0,92.63,76.76,67.92,4.06,0.42,1031.24,9.21,0.05
Gold,Recycled,Reused,427.76,34.66,176.06,140.35,89.5,2.14,0.57,3737.78,47.62,0.01
Nickel,Hybrid,Landfilled,178.07,9.31,9.01,321.63,21.78,5.59,0.54,17.82,5.89,0.23
Zinc,Hybrid,Landfilled,92.54,8.95,4.32,247.54,66.06,1.27,0.58,2.07,9.72,0.2
Lead,Primary,Landfilled,38.72,6.1,6.0,186.34,25.32,3.36,0.76,2.36,11.83,0.02
Silver,Primary,Recycled,226.0,21.67,130.43,193.7,60.84,4.26,0.37,831.46,15.24,0.05
Gold,Primary,Recycled,320.82,25.17,298.0,138.94,59.35,1.65,0.33,3850.69,49.82,0.02
Cobalt,Recycled,Recycled,114.19,9.59,4.9,261.67,41.42,4.15,0.14,31.6,10.86,0.18
Silver,Primary,Recycled,237.43,18.18,140.45,144.27,69.17,1.99,0.18,1210.27,28.98,0.03
Cobalt,Primary,Landfilled,93.89,10.55,8.3,289.62,11.04,1.92,0.11,35.38,15.93,0.09
Zinc,Recycled,Reused,96.09,7.93,7.22,223.54,67.86,4.05,0.39,3.57,5.43,0.12
Tin,Primary,Reused,39.17,1.6,3.78,96.13,11.8,1.1,0.36,18.08,13.54,0.04
Steel,Primary,Recycled,73.24,5.71,6.14,106.05,64.18,6.54,0.78,0.77,32.33,0.08
Zinc,Primary,Landfilled,74.83,4.01,9.36,127.03,20.03,2.66,0.29,3.11,13.9,0.11
Nickel,Recycled,Reused,160.14,8.06,13.0,109.64,58.59,3.85,0.64,18.93,19.35,0.13
Lead,Hybrid,Recycled,57.4,2.46,1.46,214.39,34.58,4.0,0.65,1.44,10.85,0.15
Tin,Hybrid,Recycled,49.53,4.05,1.1,106.97,22.22,2.16,0.17,22.31,7.51,0.02
Lead,Recycled,Recycled,44.91,6.45,2.72,220.2,70.92,5.48,0.45,1.65,5.93,0.05
Zinc,Primary,Landfilled,54.42,7.07,10.44,220.18,37.95,2.46,0.38,2.17,8.76,0.04
Gold,Hybrid,Recycled,336.07,36.05,169.85,54.0,52.81,5.53,0.56,3247.26,47.04,0.03
Aluminium,Primary,Landfilled,98.98,5.48,11.23,299.66,76.2,7.28,0.38,1.62,9.29,0.22
Zinc,Primary,Reused,109.8,8.19,4.62,173.62,72.09,2.89,0.55,2.64,6.58,0.14
Steel,Hybrid,Landfilled,41.59,5.56,9.97,293.82,74.09,3.19,0.21,1.08,24.35,0.05
Zinc,Recycled,Landfilled,109.25,8.9,5.82,292.41,62.58,5.07,0.31,2.06,7.85,0.04
Cobalt,Hybrid,Recycled,99.75,6.87,5.29,329.05,19.26,1.66,0.59,21.11,14.5,0.04
Steel,Hybrid,Landfilled,36.31,1.76,7.23,216.08,28.15,3.95,0.47,1.41,15.43,0.11
Cobalt,Recycled,Landfilled,55.81,5.26,9.03,129.95,54.27,2.43,0.51,37.24,5.88,0.08
Nickel,Primary,Landfilled,109.2,7.18,15.52,424.72,58.9,4.84,0.63,12.58,17.22,0.07
Aluminium,Primary,Recycled,69.21,10.11,7.81,484.44,36.55,1.42,0.6,2.6,13.67,0.16
Gold,Primary,Landfilled,317.13,26.09,108.49,116.95,36.25,3.78,0.22,4396.72,38.7,0.03
Nickel,Recycled,Recycled,159.87,11.97,11.82,357.23,34.03,1.5,0.15,11.8,11.45,0.21
Gold,Recycled,Reused,457.35,36.61,259.54,95.0,67.42,4.83,0.17,4607.55,26.0,0.04
Steel,Hybrid,Landfilled,67.28,4.02,4.81,154.72,55.92,6.7,0.26,0.67,29.82,0.08
Gold,Hybrid,Landfilled,438.47,38.17,253.57,182.9,68.05,2.44,0.31,3849.07,29.05,0.01
Tin,Primary,Recycled,35.45,5.52,2.34,280.81,62.11,4.16,0.33,16.68,8.91,0.1
Cobalt,Primary,Landfilled,112.18,11.37,6.27,219.55,34.61,4.21,0.57,38.64,10.73,0.06
Tin,Primary,Landfilled,64.85,3.99,4.35,248.93,35.86,1.24,0.34,18.2,14.71,0.03
Silver,Hybrid,Landfilled,310.1,23.09,81.5,92.6,63.36,1.25,0.15,827.48,6.21,0.02
Aluminium,Recycled,Landfilled,107.81,11.48,9.93,497.7,36.51,2.8,0.37,2.03,16.76,0.07
Lead,Recycled,Landfilled,89.66,4.11,2.72,178.47,73.62,5.05,0.38,1.42,12.82,0.1
Cobalt,Recycled,Landfilled,67.03,10.26,8.58,199.3,14.41,1.43,0.29,22.5,15.91,0.16
Nickel,Recycled,Landfilled,110.13,10.09,15.82,389.43,57.94,4.13,0.54,14.26,15.7,0.15
Steel,Recycled,Reused,37.76,3.35,9.38,106.79,57.68,4.46,0.29,0.89,39.47,0.08
Zinc,Primary,Reused,64.39,3.97,2.15,123.35,19.63,1.19,0.27,2.11,12.42,0.15
Aluminium,Hybrid,Landfilled,81.98,11.54,16.73,259.93,63.86,3.74,0.43,1.78,14.78,0.22
Steel,Hybrid,Landfilled,39.82,6.93,8.67,309.49,42.01,3.71,0.49,1.62,25.97,0.13
Cobalt,Hybrid,Reused,154.9,10.88,13.31,170.7,17.53,4.93,0.49,37.62,12.15,0.16
Gold,Primary,Reused,399.28,28.24,112.8,167.84,55.16,2.69,0.37,4449.14,22.16,0.04
Steel,Hybrid,Reused,46.6,2.09,5.35,255.88,35.73,7.58,0.64,1.04,15.07,0.11
Tin,Hybrid,Landfilled,79.41,4.49,3.62,129.92,60.55,1.91,0.56,22.93,9.98,0.02
Steel,Recycled,Landfilled,39.77,3.39,8.91,132.87,55.81,3.42,0.25,1.38,29.94,0.08
Steel,Recycled,Reused,80.72,5.15,5.33,180.91,78.86,8.94,0.61,1.21,28.8,0.12
Cobalt,Hybrid,Recycled,122.62,10.58,6.98,276.02,53.24,1.62,0.36,32.2,9.72,0.11
Aluminium,Primary,Recycled,142.63,5.12,10.65,315.73,56.22,1.72,0.29,2.25,16.89,0.27
Zinc,Recycled,Landfilled,73.43,8.38,10.8,155.54,73.22,5.88,0.2,2.15,6.55,0.09
Gold,Primary,Landfilled,481.91,38.71,297.15,90.31,50.36,4.09,0.11,3390.25,29.47,0.04
Tin,Hybrid,Recycled,30.97,2.99,3.67,177.72,48.22,1.25,0.3,21.57,7.77,0.06
Silver,Hybrid,Recycled,343.5,12.9,125.38,189.27,22.49,2.48,0.47,1434.05,23.05,0.04
Steel,Recycled,Recycled,50.38,6.89,3.42,252.66,25.03,1.94,0.48,0.63,22.55,0.11
Gold,Recycled,Landfilled,358.01,24.57,249.89,117.19,49.46,2.5,0.29,4607.14,45.05,0.02
Silver,Hybrid,Reused,204.4,23.84,123.19,125.82,45.25,3.27,0.11,1161.5,12.59,0.01
Copper,Recycled,Reused,101.42,7.36,4.62,189.05,70.07,1.23,0.56,7.91,8.75,0.05
Zinc,Primary,Landfilled,80.22,2.17,9.08,303.45,45.71,1.29,0.2,3.84,5.48,0.04
Gold,Recycled,Reused,430.41,26.73,172.46,151.43,37.94,4.81,0.21,3855.77,47.34,0.04
Silver,Recycled,Landfilled,202.37,13.11,139.25,54.3,37.35,1.68,0.29,1391.42,5.93,0.02
Silver,Hybrid,Reused,203.54,22.8,112.98,97.63,25.0,3.32,0.15,870.73,8.18,0.02
Silver,Primary,Recycled,319.32,14.26,133.61,123.15,67.72,4.8,0.54,1377.48,21.9,0.05
Nickel,Recycled,Reused,112.71,11.59,15.77,300.5,59.64,5.07,0.59,10.89,19.3,0.06
Cobalt,Recycled,Reused,76.27,4.53,13.82,367.47,50.9,2.05,0.51,24.81,7.11,0.05
Steel,Recycled,Recycled,67.11,7.45,3.65,126.66,44.38,5.61,0.34,1.48,28.7,0.1
Lead,Primary,Reused,69.71,4.64,7.47,230.12,63.69,4.38,0.71,2.32,8.73,0.12
Tin,Hybrid,Recycled,76.5,2.85,1.76,101.87,79.47,4.11,0.42,22.58,7.96,0.04
Zinc,Hybrid,Reused,35.85,2.81,7.18,314.67,56.48,5.8,0.69,3.11,10.32,0.1
Zinc,Hybrid,Recycled,92.36,4.89,5.72,262.62,55.29,1.4,0.21,2.98,11.34,0.05
Cobalt,Hybrid,Landfilled,107.76,8.35,8.06,213.98,30.17,3.36,0.33,38.7,17.1,0.14
Steel,Hybrid,Landfilled,48.92,5.74,2.5,203.79,39.92,7.59,0.47,1.84,24.13,0.11
Lead,Primary,Recycled,47.91,5.78,1.76,280.83,62.47,4.39,0.38,2.04,10.59,0.14
Cobalt,Hybrid,Recycled,133.15,7.66,3.14,338.57,24.98,2.76,0.47,22.49,5.95,0.1
Cobalt,Hybrid,Recycled,115.85,5.31,11.07,232.84,16.12,2.35,0.34,35.37,18.16,0.08
Cobalt,Primary,Recycled,58.44,10.21,6.27,365.16,24.33,1.54,0.52,25.18,18.71,0.07
Silver,Recycled,Landfilled,193.51,23.18,53.85,125.89,50.4,3.41,0.52,1043.37,26.21,0.04
Cobalt,Primary,Landfilled,55.47,9.09,3.67,232.11,27.18,3.47,0.18,34.98,7.76,0.11
Silver,Primary,Reused,270.3,22.2,65.07,154.4,60.75,4.2,0.29,1100.72,27.32,0.04
Zinc,Primary,Recycled,41.16,8.46,2.27,105.06,62.59,4.26,0.68,2.35,5.3,0.12
Aluminium,Hybrid,Reused,62.05,10.0,9.36,250.75,63.54,5.11,0.36,2.57,14.78,0.05
Gold,Primary,Reused,326.28,25.52,204.8,120.56,89.5,3.3,0.53,4526.85,17.28,0.03
Lead,Recycled,Landfilled,42.48,5.15,5.67,295.78,61.83,5.43,0.57,2.43,10.21,0.15
Steel,Recycled,Recycled,39.61,7.31,8.24,307.49,73.86,8.43,0.49,1.51,27.47,0.15
Cobalt,Recycled,Landfilled,87.35,10.05,3.59,320.44,31.75,3.52,0.49,26.13,5.79,0.06
Silver,Primary,Reused,158.2,16.69,137.56,174.2,25.73,4.81,0.53,1375.18,10.21,0.02
Aluminium,Primary,Landfilled,124.51,5.87,11.38,319.33,43.28,2.04,0.26,1.66,5.22,0.27
Cobalt,Hybrid,Landfilled,63.97,9.05,10.38,210.41,19.44,1.01,0.48,24.71,7.36,0.06
Lead,Hybrid,Landfilled,39.73,5.49,2.91,197.72,43.22,3.74,0.64,1.62,9.25,0.04
Cobalt,Recycled,Reused,52.06,10.68,5.3,271.95,44.24,4.2,0.58,33.53,16.04,0.15
Zinc,Hybrid,Reused,33.55,8.71,9.92,235.66,76.01,2.64,0.6,2.53,12.04,0.16
Nickel,Hybrid,Recycled,71.1,13.88,6.29,220.79,21.89,1.51,0.35,14.07,11.3,0.24
Lead,Hybrid,Recycled,42.1,5.51,3.21,293.28,28.12,5.92,0.54,1.76,9.04,0.1
Copper,Hybrid,Recycled,85.23,4.53,8.61,332.3,59.18,1.47,0.32,5.11,20.66,0.05
Zinc,Recycled,Landfilled,56.0,3.97,11.11,210.29,47.26,1.18,0.33,2.11,7.85,0.04
Gold,Recycled,Reused,354.34,22.06,259.1,127.92,86.06,5.17,0.1,3557.62,44.6,0.04
Gold,Hybrid,Reused,410.45,27.23,194.07,158.45,54.78,2.52,0.58,3761.3,47.96,0.04
Steel,Hybrid,Reused,54.67,1.23,6.49,292.14,81.8,4.65,0.64,1.74,14.64,0.06
Tin,Hybrid,Reused,52.5,5.33,5.29,84.25,58.08,3.34,0.47,22.24,12.91,0.03
Nickel,Recycled,Reused,120.51,10.76,11.39,118.31,64.14,2.55,0.35,12.63,15.16,0.09
Lead,Recycled,Reused,25.05,6.74,4.56,89.84,25.41,3.81,0.38,1.93,11.69,0.02
Aluminium,Recycled,Landfilled,138.42,4.81,5.1,216.14,21.42,2.37,0.63,2.88,15.63,0.26
Tin,Recycled,Reused,44.22,5.13,4.9,217.57,42.01,1.87,0.55,16.57,9.93,0.04
Tin,Hybrid,Reused,25.51,3.47,4.12,158.22,29.32,4.89,0.17,21.4,13.77,0.07
Cobalt,Primary,Landfilled,78.68,10.07,10.27,304.19,15.41,3.2,0.59,24.96,13.79,0.17
Cobalt,Primary,Landfilled,50.74,4.09,12.55,247.56,20.75,4.95,0.11,35.9,14.83,0.09
Steel,Hybrid,Reused,53.71,1.55,3.55,158.41,43.56,7.98,0.38,1.44,18.49,0.05
Gold,Primary,Recycled,363.12,36.09,131.3,59.09,40.26,4.14,0.47,4799.83,49.8,0.02
Copper,Hybrid,Reused,59.18,6.31,9.29,355.99,63.01,5.28,0.3,7.96,7.61,0.17
Lead,Hybrid,Landfilled,51.26,3.58,4.91,142.48,42.13,3.34,0.75,1.27,14.92,0.12
Cobalt,Hybrid,Reused,62.92,9.56,3.53,112.86,17.51,3.04,0.53,30.51,9.39,0.18
Tin,Primary,Landfilled,23.97,4.52,1.64,90.06,64.32,4.23,0.39,20.31,13.95,0.09
Steel,Recycled,Recycled,71.47,7.17,9.96,388.71,49.43,2.51,0.21,0.69,27.9,0.13
Silver,Primary,Landfilled,347.48,17.88,112.95,104.96,30.42,1.05,0.39,708.77,15.71,0.03
Silver,Recycled,Reused,302.45,11.45,68.57,191.9,38.1,2.33,0.48,838.25,18.32,0.03
Tin,Recycled,Reused,54.82,2.89,4.27,197.47,30.7,3.38,0.1,23.86,6.24,0.1
Copper,Hybrid,Reused,82.96,9.75,11.26,245.13,62.62,1.61,0.52,6.65,12.51,0.04
Aluminium,Recycled,Recycled,106.02,6.62,5.45,497.22,46.64,1.13,0.46,1.95,11.94,0.18
Zinc,Primary,Landfilled,42.52,3.84,9.52,289.44,79.59,5.02,0.45,3.38,13.43,0.17
Zinc,Recycled,Reused,101.85,3.18,2.77,345.86,28.11,2.28,0.66,3.69,10.7,0.19
Aluminium,Hybrid,Landfilled,129.37,7.4,18.14,337.63,12.66,1.16,0.27,1.85,7.71,0.18
Gold,Hybrid,Reused,399.47,31.68,206.95,165.43,31.34,4.85,0.47,3119.66,41.22,0.04
Nickel,Hybrid,Reused,156.64,5.89,16.99,146.48,15.86,4.56,0.24,13.1,19.39,0.23
Aluminium,Primary,Recycled,141.45,9.12,19.71,380.65,59.73,1.85,0.29,2.22,7.46,0.07
Silver,Recycled,Recycled,319.27,24.24,148.05,91.22,60.11,3.67,0.31,833.42,18.76,0.03
Cobalt,Hybrid,Reused,131.27,10.09,11.58,395.04,28.35,3.99,0.1,33.9,10.11,0.18
Zinc,Primary,Recycled,80.95,5.92,10.61,278.56,63.74,1.62,0.54,3.38,13.0,0.18
Tin,Hybrid,Landfilled,55.64,5.94,4.57,149.99,48.96,4.0,0.44,19.84,11.29,0.09
Steel,Primary,Landfilled,54.25,5.31,2.07,289.08,79.73,1.64,0.54,1.52,16.34,0.14
Nickel,Hybrid,Reused,98.17,11.49,17.97,303.29,45.57,3.12,0.39,14.31,9.02,0.24
Steel,Primary,Reused,22.94,2.37,5.04,193.94,56.34,5.15,0.61,0.85,26.44,0.03
Lead,Hybrid,Landfilled,48.12,3.45,4.93,265.42,70.43,2.67,0.57,2.12,14.38,0.11
Cobalt,Primary,Reused,104.56,8.46,9.72,262.67,52.32,2.03,0.47,23.67,17.78,0.16
Gold,Hybrid,Reused,393.59,37.48,280.72,128.34,49.1,2.08,0.35,4623.22,43.82,0.02
Steel,Recycled,Reused,45.83,7.25,3.32,281.71,74.99,8.69,0.42,1.1,36.75,0.15
Zinc,Hybrid,Landfilled,85.93,3.96,8.26,155.65,29.32,5.51,0.22,2.7,11.85,0.1
Cobalt,Primary,Recycled,124.9,9.78,3.25,192.71,56.54,1.08,0.58,31.95,5.95,0.06
Copper,Recycled,Landfilled,147.55,5.89,3.87,398.0,22.58,5.8,0.12,7.97,9.25,0.18
Cobalt,Hybrid,Reused,156.91,10.63,6.39,191.74,36.8,4.71,0.28,22.01,6.89,0.09
Nickel,Recycled,Landfilled,172.64,9.31,11.72,241.18,63.43,2.17,0.29,12.09,12.59,0.05
Steel,Primary,Recycled,44.23,6.03,2.23,264.06,39.9,5.64,0.37,1.57,31.27,0.05
Lead,Primary,Landfilled,61.21,5.27,5.33,239.59,43.87,4.7,0.23,2.13,7.36,0.08
Gold,Primary,Reused,340.63,21.47,119.27,73.11,72.56,5.26,0.39,4450.78,23.34,0.01
Gold,Primary,Reused,436.5,24.34,284.6,150.86,44.48,5.13,0.56,4828.23,27.99,0.02
Zinc,Recycled,Landfilled,117.68,4.72,11.3,333.52,60.98,1.2,0.31,3.43,9.86,0.13
Lead,Primary,Reused,79.81,5.78,4.35,116.09,72.49,5.09,0.22,2.0,11.1,0.13
Steel,Hybrid,Landfilled,84.73,4.38,7.65,225.54,89.76,5.54,0.73,0.67,35.19,0.1
Zinc,Primary,Recycled,114.59,3.21,3.6,286.43,30.26,3.91,0.52,3.51,8.5,0.03
Copper,Primary,Recycled,143.9,8.41,14.5,231.85,6.36,2.61,0.17,7.97,5.98,0.14
Cobalt,Hybrid,Landfilled,63.37,4.43,5.15,175.67,40.63,2.97,0.35,20.59,9.41,0.06
Tin,Hybrid,Reused,59.45,1.57,4.45,160.44,24.89,1.24,0.39,24.25,11.08,0.09
Tin,Hybrid,Landfilled,67.53,4.58,3.88,180.7,32.66,4.67,0.23,21.03,8.52,0.02
Copper,Primary,Reused,60.93,5.69,9.38,190.06,55.11,2.68,0.31,5.09,23.22,0.06
Gold,Primary,Landfilled,389.68,21.6,216.46,106.46,30.2,5.66,0.35,4198.88,22.0,0.04
Lead,Hybrid,Landfilled,41.17,2.66,6.9,240.42,32.6,5.51,0.29,2.48,7.76,0.12
Nickel,Recycled,Reused,174.51,8.74,13.96,327.44,19.06,5.42,0.43,10.73,11.92,0.2
Steel,Hybrid,Reused,90.81,5.09,6.06,324.5,89.94,5.81,0.37,1.39,23.31,0.05
Zinc,Recycled,Reused,53.93,8.27,7.74,282.03,16.87,4.51,0.55,2.48,14.47,0.2
Aluminium,Recycled,Landfilled,104.84,11.66,9.71,472.54,37.84,7.24,0.48,1.93,18.52,0.24
Zinc,Primary,Landfilled,42.07,5.94,2.48,230.14,65.66,4.13,0.37,2.52,12.12,0.12
Lead,Primary,Landfilled,52.88,4.47,6.01,265.39,68.74,4.04,0.64,1.53,8.51,0.09
Gold,Hybrid,Reused,302.43,21.32,289.37,190.81,87.11,4.25,0.28,3675.27,49.47,0.01
Aluminium,Primary,Landfilled,52.19,6.19,10.21,466.44,26.36,4.83,0.15,2.38,16.88,0.08
Cobalt,Recycled,Reused,143.75,6.03,13.82,282.54,10.29,4.72,0.51,37.0,5.96,0.15
Cobalt,Primary,Reused,136.58,7.24,9.9,269.88,10.77,4.9,0.22,20.26,15.17,0.1
Aluminium,Hybrid,Reused,148.56,8.26,13.2,359.3,36.62,3.5,0.74,2.05,15.87,0.25
Steel,Recycled,Recycled,71.5,1.25,6.1,186.0,37.27,7.41,0.44,1.78,14.22,0.14
Tin,Hybrid,Recycled,66.07,3.62,2.24,210.9,40.84,2.82,0.4,23.36,13.59,0.03
Zinc,Hybrid,Reused,113.51,2.1,10.94,163.82,75.22,1.64,0.43,3.98,10.48,0.08
Zinc,Recycled,Landfilled,87.51,6.32,11.42,195.03,28.52,1.88,0.44,2.11,13.1,0.13
Cobalt,Recycled,Reused,119.8,4.19,11.2,381.51,48.14,1.79,0.21,27.96,18.92,0.13
Nickel,Recycled,Recycled,73.0,10.33,5.62,324.76,38.64,3.91,0.22,11.82,18.82,0.21
Aluminium,Primary,Landfilled,121.85,5.82,5.78,248.96,24.93,6.11,0.49,2.52,15.07,0.09
Tin,Primary,Landfilled,45.41,4.26,1.46,181.02,14.72,4.36,0.29,19.55,14.35,0.05
Aluminium,Primary,Landfilled,115.55,5.42,6.74,233.14,65.62,3.89,0.38,2.46,11.96,0.28
Aluminium,Recycled,Reused,133.32,11.17,8.07,292.79,49.45,6.74,0.42,1.53,6.22,0.18
Gold,Hybrid,Reused,346.25,24.17,296.67,141.28,54.3,4.93,0.4,3205.05,11.87,0.05
Gold,Hybrid,Recycled,380.48,37.71,129.1,148.97,28.36,3.21,0.36,4964.84,25.22,0.04
Nickel,Recycled,Recycled,140.16,12.81,11.14,368.08,16.27,3.88,0.59,13.53,16.24,0.19
Zinc,Hybrid,Landfilled,76.59,8.47,11.5,300.26,49.75,3.74,0.16,3.95,7.02,0.06
Aluminium,Primary,Reused,77.48,10.53,9.74,258.37,12.88,5.29,0.59,2.45,8.84,0.1
Silver,Primary,Landfilled,214.26,19.63,66.99,81.19,48.01,3.43,0.25,1356.49,18.31,0.04
Silver,Primary,Landfilled,243.72,20.77,144.67,103.09,64.25,4.52,0.3,1001.75,16.05,0.04
Gold,Hybrid,Landfilled,320.36,37.52,275.25,83.43,40.43,1.77,0.17,4317.5,15.03,0.04
Aluminium,Primary,Reused,80.57,4.98,7.56,249.68,24.91,2.16,0.49,1.8,17.5,0.29
Zinc,Primary,Recycled,98.46,4.49,11.47,196.2,55.32,4.56,0.22,2.23,13.62,0.18
Silver,Recycled,Landfilled,293.94,19.0,107.47,140.55,41.15,2.13,0.35,941.88,20.71,0.04
Copper,Primary,Recycled,106.3,7.15,5.81,352.57,31.76,5.0,0.52,6.13,9.19,0.06
Tin,Recycled,Reused,71.15,5.43,4.31,262.95,59.81,3.47,0.45,16.26,7.93,0.05
Aluminium,Hybrid,Recycled,149.92,9.52,17.99,277.39,42.77,4.19,0.33,1.87,19.92,0.19
Zinc,Hybrid,Recycled,64.76,4.35,3.92,227.2,40.25,2.96,0.67,2.94,5.36,0.12
Cobalt,Recycled,Landfilled,101.32,11.98,9.77,399.01,28.47,1.64,0.31,25.81,11.23,0.08
Tin,Hybrid,Recycled,56.47,2.24,1.02,208.2,24.85,4.94,0.53,15.54,6.11,0.09
Aluminium,Primary,Reused,74.56,6.43,13.9,285.2,35.68,5.8,0.66,2.45,9.88,0.17
Silver,Recycled,Recycled,161.33,20.34,99.39,107.21,38.75,3.96,0.14,943.24,5.52,0.02
Copper,Hybrid,Reused,61.03,4.58,11.3,287.95,55.75,4.25,0.64,7.01,6.97,0.17
Lead,Recycled,Landfilled,72.52,3.99,7.77,249.9,57.55,4.94,0.27,1.86,7.96,0.09
Gold,Recycled,Recycled,462.75,22.25,228.59,53.76,52.5,5.03,0.26,4466.35,22.24,0.03
Nickel,Primary,Landfilled,90.17,11.52,11.48,382.19,21.46,3.88,0.55,18.62,7.45,0.14
Tin,Primary,Landfilled,37.13,5.63,1.72,203.23,28.9,2.71,0.58,22.37,11.86,0.02
Silver,Hybrid,Recycled,154.7,22.91,148.59,144.14,27.55,2.54,0.13,787.19,5.79,0.05
Nickel,Primary,Reused,161.03,5.25,15.8,278.55,47.6,3.82,0.62,10.14,18.16,0.16
Steel,Primary,Recycled,79.89,7.75,2.97,219.63,23.97,5.2,0.35,1.62,38.15,0.14
Steel,Hybrid,Recycled,99.24,5.49,3.79,106.49,86.36,2.97,0.7,0.85,33.06,0.14
Silver,Recycled,Reused,256.93,12.79,83.9,59.46,55.28,2.19,0.26,1129.84,9.4,0.03
Aluminium,Recycled,Reused,160.56,9.04,5.55,484.59,87.0,3.67,0.12,2.11,8.8,0.27
Gold,Hybrid,Landfilled,466.79,31.95,119.96,107.0,88.22,5.54,0.18,3526.91,22.42,0.01
Copper,Primary,Recycled,65.0,6.7,7.4,222.02,65.64,6.18,0.21,6.17,20.77,0.19
Aluminium,Hybrid,Recycled,158.44,7.35,18.58,314.94,75.61,7.02,0.69,1.75,12.71,0.12
Gold,Hybrid,Reused,306.97,35.62,185.28,184.15,34.1,4.59,0.5,4622.32,32.06,0.02
Tin,Hybrid,Landfilled,67.51,4.04,5.03,289.34,79.43,4.97,0.17,20.56,12.4,0.05
Copper,Hybrid,Landfilled,142.22,5.39,14.67,153.37,63.49,4.17,0.6,7.39,17.67,0.05
Zinc,Primary,Landfilled,38.85,4.53,6.39,176.3,43.38,1.36,0.41,3.74,11.77,0.07
Zinc,Recycled,Recycled,63.64,6.01,2.41,199.39,79.28,2.23,0.23,3.26,13.98,0.08
Cobalt,Hybrid,Reused,148.54,4.9,12.22,339.36,15.74,2.25,0.19,26.78,18.8,0.08
Gold,Recycled,Recycled,387.73,38.69,261.03,148.26,66.25,4.82,0.47,4429.36,24.67,0.02
Lead,Hybrid,Landfilled,46.52,6.73,1.35,146.54,66.17,4.41,0.35,1.43,10.29,0.15
Aluminium,Primary,Reused,99.43,7.92,17.73,207.27,16.57,1.89,0.21,2.18,7.73,0.29
Copper,Primary,Reused,144.56,6.2,4.92,339.35,78.79,4.49,0.17,6.33,15.37,0.18
Silver,Hybrid,Landfilled,220.74,24.5,83.44,139.6,66.01,1.68,0.39,1453.82,21.1,0.05
Nickel,Hybrid,Recycled,81.09,10.03,17.73,135.37,55.22,4.97,0.27,16.43,8.82,0.22
Zinc,Hybrid,Landfilled,33.14,2.66,4.16,339.98,59.51,4.47,0.55,2.73,14.13,0.19
Silver,Primary,Recycled,343.64,13.6,91.24,51.68,20.41,3.07,0.56,1336.38,16.4,0.04
Cobalt,Primary,Recycled,139.89,8.25,4.85,142.32,56.95,1.46,0.17,23.98,14.75,0.1
Zinc,Recycled,Landfilled,72.62,5.73,7.8,187.27,28.89,2.88,0.22,3.26,6.23,0.14
Cobalt,Primary,Landfilled,56.7,9.59,10.81,304.91,55.65,4.07,0.15,34.08,9.13,0.14
Nickel,Recycled,Recycled,116.94,9.11,6.77,395.7,40.91,3.03,0.37,15.47,14.12,0.18
Zinc,Recycled,Landfilled,118.89,4.07,3.56,223.98,38.19,1.34,0.41,2.52,8.43,0.12
Cobalt,Hybrid,Reused,83.99,7.02,4.55,351.31,57.01,4.36,0.27,24.97,12.98,0.17
Tin,Hybrid,Recycled,27.1,5.92,2.33,189.78,28.16,1.32,0.59,19.15,5.32,0.08
Gold,Hybrid,Reused,427.86,22.79,216.71,181.43,38.02,4.06,0.12,4358.93,25.18,0.04
Cobalt,Recycled,Landfilled,95.54,11.27,13.36,167.82,34.94,2.94,0.18,23.87,13.01,0.03
Copper,Recycled,Landfilled,108.06,3.18,14.27,344.23,28.43,3.79,0.18,7.7,10.74,0.09
Copper,Primary,Recycled,58.37,7.68,5.81,360.97,20.75,2.7,0.26,5.4,20.92,0.17
Copper,Recycled,Reused,102.67,3.81,6.54,200.65,82.57,2.29,0.12,7.08,11.2,0.13
